company_name,company_status,company_status_date,search_url,company_search_status,company_found_name,,flag,flagging_reason,company_number
Appfleet Limited,Cancelled - Small PI,2018-11-28 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Appfleet+Limited,Not exact match,POMELO GROUP LTD,,Red,"Nationality: Hungarian (SAGI, Endre Attila), Nationality: Russian (SAPRONOV, Fedor), Country of Residence: Russia (SAPRONOV, Fedor)",10583935
Apple Payments Services Limited,Registered Account Information Service Provider,2018-02-02 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Apple+Payments+Services+Limited,OK,APPLE PAYMENTS SERVICES LIMITED,,Company Ownership,Company Ownership: Public Corporation (Governing Law: California),09873335
Approve Services Limited,Cancelled - Small PI,2012-07-12 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Approve+Services+Limited,OK,APPROVE SERVICES LIMITED,,OK,,11622818
Aqif Latif Bhatti,PSD Revoked PI,2019-01-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Aqif+Latif+Bhatti,Not exact match,AQIFA LTD,,OK,,12390249
Arab Link Ltd,PSD Revoked PI,2019-01-07 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Arab+Link+Ltd,Not exact match,ARAB LINK LIMITED,,OK,,07430563
Arbitrage Capital Limited,Cancelled - Small PI,2018-02-26 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Arbitrage+Capital+Limited,OK,ARBITRAGE CAPITAL LIMITED,,OK,,08438234
Ardohr Limited,Cancelled - Small PI,2018-01-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Ardohr+Limited,OK,ARDOHR LIMITED,,Predicted Nationality,"Predicted nationality: ['british', 'else', 'russian', 'swedish', 'german'] (Alexander MEYNELL), Predicted nationality: ['greek', 'dutch', 'russian', 'german', 'french'] (Alexander BALFOUR), Predicted nationality: ['british', 'else', 'russian', 'swedish', 'german'] (Alexander Meynell)",03156714
Argentex LLP,Cancelled - Authorised PI,2017-01-09 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Argentex+LLP,OK,ARGENTEX LLP,,Company Ownership,"Company Ownership: Limited Company (Governing Law: Companies Act 2006), Company Ownership: Private Company Limited By Shares (Governing Law: Companies Act 2006), Company Ownership: Limited Company (Governing Law: Companies Act 2006), Company Ownership: Private Company Limited By Shares (Governing Law: Companies Act 2006)",OC369106
Ariana Business Centre Ltd,Cancelled - Small PI,2018-10-25 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Ariana+Business+Centre+Ltd,OK,ARIANA BUSINESS CENTRE LTD,,OK,,08085910
Ariana Exchange Limited,Cancelled - Small PI,2012-11-30 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Ariana+Exchange+Limited,OK,ARIANA EXCHANGE LIMITED,,OK,,05716065
Ariana Exchange Ltd,Authorised Payment Institution,2018-06-08 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Ariana+Exchange+Ltd,Not exact match,ARIANA EXCHANGE LIMITED,,OK,,05716065
Ariana Money Global Ltd,Cancelled - Small PI,2016-08-05 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Ariana+Money+Global+Ltd,OK,ARIANA MONEY GLOBAL LTD,,OK,,09473263
Arif Khan,Cancelled - Small PI,2017-04-06 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Arif+Khan,OK,ARIF KHAN LTD,,OK,,05237777
Armalytix Ltd,Registered Account Information Service Provider,2019-10-24 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Armalytix+Ltd,OK,ARMALYTIX LTD,,OK,,11828727
Arman Alam,Cancelled - Small PI,2017-01-18 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Arman+Alam,OK,ARMAN ALAM CHAMBERS LIMITED,,OK,,12656306
Aroko Limited,PSD Revoked PI,2019-01-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Aroko+Limited,Not exact match,AROKO LTD,,OK,,10243521
Arya Money Exchange Ltd,Cancelled - Small PI,2018-03-07 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Arya+Money+Exchange+Ltd,OK,ARYA MONEY EXCHANGE LTD,,OK,,09351972
Asad Ali,Cancelled - Small PI,2013-02-05 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Asad+Ali,OK,ASAD ALI LTD,,OK,,14619460
Asad Manzoor,Cancelled - Small PI,2014-01-29 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Asad+Manzoor,OK,ASAD MANZOOR LTD,,OK,,15224030
Asadullah Sher,Cancelled - Small PI,2012-05-04 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Asadullah+Sher,Not exact match,ASADULLAH LTD,,OK,,13824206
Ascher Khawaja,Cancelled - Small PI,2013-10-03 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Ascher+Khawaja,Not exact match,GÖTZ ASCHERL GMBH,,OK,,OE030007
Asghar Ali,Cancelled - Small PI,2015-04-06 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Asghar+Ali,OK,ASGHAR ALI LIMITED,,OK,,07477811
Asghar Mohammad Shaheen,Cancelled - Small PI,2012-01-18 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Asghar+Mohammad+Shaheen,Not exact match,ADIL ASGHAR LIMITED,,OK,,15593682
Ashiloht Ventures Company Limited,Small Payment Institution,2018-10-19 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Ashiloht+Ventures+Company+Limited,OK,ASHILOHT VENTURES COMPANY LIMITED,,OK,,07099989
Ashin City Tours & Travels Limited,Cancelled - Small PI,2013-10-03 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Ashin+City+Tours+&+Travels+Limited,OK,ASHIN CITY TOURS & TRAVELS LIMITED,,OK,,06100265
Ashley Segunoshin,PSD Revoked PI,2011-12-20 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Ashley+Segunoshin,Not exact match,EPSOM ASHLEY SARL,,OK,,OE006559
Ashraf Continental Enterprise Ltd,Cancelled - Small PI,2014-05-22 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Ashraf+Continental+Enterprise+Ltd,OK,ASHRAF CONTINENTAL ENTERPRISE LTD,,OK,,08012719
Ashraf Surti,Cancelled - Small PI,2016-11-11 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Ashraf+Surti,Not exact match,BOLTON SURTI SUNNI VOHRA MUSLIM ASSOCIATION,,OK,,03459257
Asia Forex Limited,Cancelled - Small PI,2016-09-27 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Asia+Forex+Limited,Not exact match,ASIA FOREX LTD,,OK,,09433858
Asia Travel & Exchange Ltd,Cancelled - Small PI,2018-10-31 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Asia+Travel+&+Exchange+Ltd,Not exact match,ASIA TRAVEL LTD,,OK,,13863201
Asian Connect Consultant Limited,Cancelled - Small PI,2012-05-10 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Asian+Connect+Consultant+Limited,Not exact match,ASIAN CONNECT CONSULTANT LTD,,OK,,06995895
Asian Union Exchange Limited,Cancelled - Small PI,2012-10-25 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Asian+Union+Exchange+Limited,OK,ASIAN UNION EXCHANGE LIMITED,,Predicted Nationality,"Predicted nationality: ['russian', 'french'] (HANOVER LIMITED)",05961093
Asian Union Exchange Ltd,Small Payment Institution,2018-08-28 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Asian+Union+Exchange+Ltd,Not exact match,ASIAN UNION EXCHANGE LIMITED,,Predicted Nationality,"Predicted nationality: ['russian', 'french'] (HANOVER LIMITED)",05961093
Asiana Money Transfer & Exchange Limited,Small Payment Institution,2018-08-17 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Asiana+Money+Transfer+&+Exchange+Limited,OK,ASIANA MONEY TRANSFER & EXCHANGE LIMITED,,OK,,09469907
Aspire Payments limited,Small Electronic Money Institution,2018-09-12 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Aspire+Payments+limited,OK,ASPIRE PAYMENTS LIMITED,,Company Ownership,"Company Ownership: Limited Company (Governing Law: Companies Act 2006), Company Ownership: Limited Company (Governing Law: Companies Act 2006)",09609407
Associated Foreign Exchange Limited,Cancelled - Authorised PI,2023-05-15 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Associated+Foreign+Exchange+Limited,OK,ASSOCIATED FOREIGN EXCHANGE LIMITED,,Company Ownership,"Company Ownership: LIMITED LIABILITY PARTNERSHIP (Governing Law: LIMITED LIABILITY PARTNERSHIPS ACT 2000), Company Ownership: Corporation (Governing Law: Delaware General Corporation Law)",04848033
Asto Digital Limited,Cancelled - Authorised PI,2019-04-03 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Asto+Digital+Limited,OK,ASTO DIGITAL LIMITED,,Company Ownership,"Company Ownership: Corporate (Governing Law: Spain), Company Ownership: Coporate (Governing Law: Spain), Company Ownership: Public Company Limited By Shares (Governing Law: England & Wales)",11124336
Ataur Rahman,Cancelled - Small PI,2013-04-10 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Ataur+Rahman,OK,ATAUR RAHMAN LTD,,OK,,10342244
Ateek Ur Rehman,Cancelled - Small PI,2014-03-31 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Ateek+Ur+Rehman,Not exact match,ABID UR REHMAN LTD,,OK,,15218006
Atico Traders Co Ltd,Cancelled - Small PI,2013-05-21 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Atico+Traders+Co+Ltd,OK,ATICO TRADERS CO LTD,,OK,,07801322
Atlam Financial Services Ltd,Cancelled - Small PI,2018-11-05 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Atlam+Financial+Services+Ltd,Not exact match,ATLAM FINANCIAL SERVICES LIMITED,,OK,,04504186
Atlantic Money Ltd,Authorised Payment Institution,2022-02-18 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Atlantic+Money+Ltd,OK,ATLANTIC MONEY LTD,,OK,,13057810
Atlas Foreign Exchange Ltd,Cancelled - Small PI,2012-12-11 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Atlas+Foreign+Exchange+Ltd,Not exact match,ATLAS FOREIGN EXCHANGE LIMITED,,OK,,04993926
Atlas General Trading Ltd,Small Payment Institution,2018-05-04 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Atlas+General+Trading+Ltd,OK,ATLAS GENERAL TRADING LTD,,OK,,10910883
Atmar UK Ltd,Cancelled - Small PI,2018-07-03 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Atmar+UK+Ltd,OK,ATMAR UK LTD,,OK,,07394379
Attach (Global) Limited,EMD Revoked - Small EMI,2018-07-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Attach+(Global)+Limited,Not exact match,ATTACH (GLOBAL) LTD,,OK,,07906686
Attijariwafa Limited,Small Payment Institution,2018-09-24 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Attijariwafa+Limited,OK,ATTIJARIWAFA LIMITED,,Company Ownership,Company Ownership: Limited Company (Governing Law: Ministry Of Finance And Commercial Law),04592821
Audensa Financial Limited,Cancelled - Authorised PI,2018-05-15 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Audensa+Financial+Limited,OK,AUDENSA FINANCIAL LIMITED,,Orange,"Nationality: Polish (GRZESINSKA, Magdalena), Nationality: Polish (Magdalena Grzesinska)",09618078
Audley Bridge Limited,Cancelled - Small PI,2014-06-06 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Audley+Bridge+Limited,Not exact match,ROSE ANTIQUES GALLERY LTD.,,OK,,03935244
Authoripay Emoney Ltd,Cancelled - Small EMI,2021-08-03 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Authoripay+Emoney+Ltd,OK,AUTHORIPAY EMONEY LTD,,OK,,11869717
Authoripay Limited,Cancelled - Authorised PI,2020-03-10 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Authoripay+Limited,Not exact match,AUTHORIPAY LTD,,OK,,11869596
Authpay Ltd,Authorised Electronic Money Institution,2021-08-09 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Authpay+Ltd,OK,AUTHPAY LTD,,OK,,12738270
Automated Life Limited,Cancelled - RAISP,2018-08-20 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Automated+Life+Limited,OK,AUTOMATED LIFE LIMITED,,OK,,11025642
Automatic Data Processing Limited,Authorised Payment Institution,2018-05-17 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Automatic+Data+Processing+Limited,OK,AUTOMATIC DATA PROCESSING LIMITED,,Company Ownership,"Company Ownership: Public Limited Company (Governing Law: New Jersey), Company Ownership: Limited By Shares (Governing Law: England And Wales)",00949665
Avas Union (UK) Ltd,Cancelled - Small PI,2018-09-25 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Avas+Union+(UK)+Ltd,OK,AVAS UNION (UK) LTD,,OK,,09037636
Axia FX Limited,Cancelled - Authorised PI,2017-03-21 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Axia+FX+Limited,Not exact match,AXIA ADVISORY LIMITED,,OK,,05762951
Axius Global Ltd,Authorised Electronic Money Institution,2021-04-19 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Axius+Global+Ltd,OK,AXIUS GLOBAL LTD,,OK,,12519275
Ayabo Limited,Cancelled - Small PI,2011-10-07 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Ayabo+Limited,OK,AYABO LIMITED,,OK,,07037238
Ayiza Software Labs Limited,Registered Account Information Service Provider,2023-03-17 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Ayiza+Software+Labs+Limited,OK,AYIZA SOFTWARE LABS LIMITED,,OK,,12718749
Ayodeji Olotu,PSD Revoked PI,2019-01-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Ayodeji+Olotu,Not exact match,KENTEBE OLOTU OLUDARE DAOBRY LTD,,OK,,15668714
Azam Ali,Cancelled - Small PI,2013-12-20 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Azam+Ali,OK,MOULANA AZAM ALI BROTHERS AND SISTERS WELFARE TRUST LTD,,OK,,10753625
Azimo Ltd,Cancelled - Authorised PI,2015-03-02 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Azimo+Ltd,OK,AZIMO LTD,,Orange,"Nationality: Israeli (GUEZ, Eynat Sandrin), Country of Residence: Israel (GUEZ, Eynat Sandrin), Nationality: Israeli (BIRON, Gur), Country of Residence: Israel (BIRON, Gur), Nationality: Polish (BOGACZYK, Maciej Dariusz), Country of Residence: Poland (BOGACZYK, Maciej Dariusz), Nationality: Polish (JANIK, Sylwester), Country of Residence: Poland (JANIK, Sylwester), Company Ownership: Limited By Shares (Governing Law: United Kingdom (England And Wales)), Nationality: Israeli (GUEZ, Eynat Sandrin), Country of Residence: Israel (GUEZ, Eynat Sandrin), Nationality: Israeli (BIRON, Gur), Country of Residence: Israel (BIRON, Gur), Nationality: Polish (BOGACZYK, Maciej Dariusz), Country of Residence: Poland (BOGACZYK, Maciej Dariusz), Nationality: Polish (JANIK, Sylwester), Country of Residence: Poland (JANIK, Sylwester), Company Ownership: Limited By Shares (Governing Law: United Kingdom (England And Wales))",07895399
Azure Payments Ltd,Small Electronic Money Institution,2020-10-06 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Azure+Payments+Ltd,OK,AZURE PAYMENTS LTD.,,Orange,"Nationality: Latvian (GUZEVS, Savelijs), Company Ownership: Limited Company (Governing Law: Companies Act 2006), Nationality: Latvian (Mr Savelijs Guzevs)",12108869
Azzco UK Ltd,Cancelled - Small PI,2012-02-01 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Azzco+UK+Ltd,Not exact match,MT GLOBAL LIMITED,,OK,,05623359
B Com (UK) Limited,Cancelled - Small PI,2018-10-18 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=B+Com+(UK)+Limited,OK,B COM (UK) LIMITED,,OK,,08728049
B Transfer Services Limited,Authorised Payment Institution,2018-06-27 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=B+Transfer+Services+Limited,OK,B TRANSFER SERVICES LIMITED,,Company Ownership,"Company Ownership: Public Limited Company (Governing Law: Luxembourg), Company Ownership: Public Limited Liability Company (Governing Law: Luxembourg Law)",09377714
BA Exchange Company (UK) Limited,Small Payment Institution,2018-09-20 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BA+Exchange+Company+(UK)+Limited,OK,BA EXCHANGE COMPANY (UK) LIMITED,,OK,,07314397
BABB App Ltd,PSD Revoked PI,2018-07-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BABB+App+Ltd,OK,BABB APP LTD,,OK,,12056244
BABB REMIT LTD,Cancelled - Small PI,2021-12-23 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BABB+REMIT+LTD,OK,BABB REMIT LTD,,Company Ownership,"Company Ownership: Limited Company (Governing Law: Companies Act 2006), Company Ownership: Private Limited Company (Governing Law: Companies Act 2006)",10407809
BALAZOO EXPRESS LTD,Small Payment Institution,2019-01-06 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BALAZOO+EXPRESS+LTD,OK,BALAZOO EXPRESS LTD,,OK,,07872203
BAO MA,Cancelled - Small PI,2013-07-11 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BAO+MA,Not exact match,GUITING KITCHEN LTD,,OK,,13058636
BARAKAH UK LIMITED,Cancelled - Small PI,2015-04-27 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BARAKAH+UK+LIMITED,OK,BARAKAH UK LIMITED,,OK,,06355709
BASTION FINGROUP LIMITED,Authorised Electronic Money Institution,2019-12-24 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BASTION+FINGROUP+LIMITED,OK,BASTION FINGROUP LIMITED,,Red,"Nationality: Turkmen (CHARYEV, Viacheslav), Nationality: Latvian (JEGOROVS, Aleksejs), Country of Residence: Latvia (JEGOROVS, Aleksejs), Nationality: Bulgarian (KICHEV, Gavrail Sashev), Nationality: Russian (LASHKOV, Alexey), Country of Residence: Bulgaria (LASHKOV, Alexey), Nationality: Latvian (ZAKREVSKA, Jana), Country of Residence: Latvia (ZAKREVSKA, Jana), Nationality: Turkmen (Mr Viacheslav Charyev), Nationality: Russian (Mr Alexey Lashkov), Country of Residence: Bulgaria (Mr Alexey Lashkov), Nationality: Turkmen (Vyacheslav Chariyev)",11611661
BAYZE TRADING LTD,Small Payment Institution,2020-12-22 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BAYZE+TRADING+LTD,OK,BAYZE TRADING LTD,,OK,,12734976
BC Remittance Limited,Cancelled - Small PI,2020-11-30 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BC+Remittance+Limited,OK,BC REMITTANCE LIMITED,,OK,,09478401
BC Remittance Ltd.,Authorised Payment Institution,2020-11-30 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BC+Remittance+Ltd.,Not exact match,BC REMITTANCE LIMITED,,OK,,09478401
BCB Payments Limited,Authorised Payment Institution,2018-06-28 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BCB+Payments+Limited,OK,BCB PAYMENTS LIMITED,,Company Ownership,Company Ownership: Limited Company (Governing Law: Companies Act 2006),11313622
BCON SOLUTIONS LTD,Small Payment Institution,2018-10-23 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BCON+SOLUTIONS+LTD,OK,BCON SOLUTIONS LTD,,OK,,10539119
BCP Direct Limited,Cancelled - Small PI,2011-10-04 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BCP+Direct+Limited,Not exact match,BCP DIRECT LTD,,OK,,06606063
BCS Prime Brokerage Ltd,Cancelled - Authorised PI,2018-09-24 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BCS+Prime+Brokerage+Ltd,Not exact match,BCS PRIME BROKERAGE LIMITED,,Red,"Nationality: Russian (PONOMAREV, Nikita), Country of Residence: Russia (PONOMAREV, Nikita), Nationality: Israeli (DAYAN, Yosef), Nationality: Russian (LEVCHUK, Ratmir), Nationality: Russian (SHELIKHOVSKIY, Vitaliy), Country of Residence: Russia (SHELIKHOVSKIY, Vitaliy), Nationality: Russian (SURIKOV, Stanislav), Country of Residence: Russia (SURIKOV, Stanislav), Nationality: Russian (Mr Oleg Mikhasenko), Country of Residence: Russia (Mr Oleg Mikhasenko)",08040031
BD Dot Com Limited,Cancelled - Small PI,2016-03-06 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BD+Dot+Com+Limited,OK,BD DOT COM LIMITED,,OK,,07359391
BDO Remit (UK) Ltd,Authorised Payment Institution,2018-05-17 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BDO+Remit+(UK)+Ltd,OK,BDO REMIT (UK) LTD,,Company Ownership,"Company Ownership: Limited Liability Company (Governing Law: Philippines), Company Ownership: Limited Company (Governing Law: Netherlands Law)",03635068
BEPI LTD,Authorised Electronic Money Institution,2021-12-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BEPI+LTD,OK,BEPI LTD,,Orange,"Nationality: Latvian (DJUGAJEVS, Aleksandrs, Mr.), Nationality: Latvian (Mr. Aleksandrs Djugajevs), Company Ownership: Private Company Limited By Shares (Governing Law: Companies Act 2006)",12973725
BFC  Exchange Limited,PSD Revoked PI,2018-07-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BFC++Exchange+Limited,Not exact match,IFAST GLOBAL BANK LIMITED,,Company Ownership,Company Ownership: Limited By Shares (Governing Law: United Kingdom (England And Wales)),04797759
BFIN Ltd,PSD Revoked PI,2019-01-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BFIN+Ltd,OK,BFIN LTD,,Company Ownership,"Company Ownership: Sasu (Governing Law: French), Company Ownership: Sasu (Governing Law: France)",09300539
BHZ Hanifa Ltd,PSD Revoked PI,2019-01-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BHZ+Hanifa+Ltd,OK,BHZ HANIFA LTD,,OK,,09289504
BICCO EXPRESS UK LTD,Small Payment Institution,2018-07-23 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BICCO+EXPRESS+UK+LTD,OK,BICCO EXPRESS UK LTD,,OK,,09687997
BILLION KEY LIMITED,Cancelled - Authorised PI,2019-04-03 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BILLION+KEY+LIMITED,Not exact match,PAYWISER LIMITED,,OK,,10677553
BJINFINITY BUSINESS SERVICES LTD,Small Payment Institution,2018-08-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BJINFINITY+BUSINESS+SERVICES+LTD,Not exact match,ARIA REMIT LIMITED,,OK,,08997578
BKL Worldwide Ltd,Small Payment Institution,2018-10-12 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BKL+Worldwide+Ltd,OK,BKL WORLDWIDE LTD,,OK,,07287407
BMS UN LIMITED,Small Payment Institution,2018-10-18 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BMS+UN+LIMITED,OK,BMS UN LIMITED,,OK,,11343866
BNC LTD,Small Payment Institution,2018-08-30 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BNC+LTD,OK,BNC LTD,,Orange,"Nationality: Romanian (IONESCU, Marcela-Viorica)",11214829
BNKPro Ltd,Authorised Electronic Money Institution,2019-01-06 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BNKPro+Ltd,OK,BNKPRO LTD,,Orange,"Nationality: Cypriot (DEMETRIADES, Marios), Country of Residence: Cyprus (DEMETRIADES, Marios), Nationality: Cypriot (SUKHOTIN, Denis), Nationality: Cypriot (PSIMOLOPHITIS, Charalambos), Country of Residence: Cyprus (PSIMOLOPHITIS, Charalambos), Nationality: Cypriot (Mr Denis Sukhotin), Company Ownership: Private Company Limited By Shares (Governing Law: English Law), Company Ownership: Limited Company (Governing Law: Companies Act 2006)",06766829
BOOKING HOLDINGS FINANCIAL SERVICES UK LIMITED,Authorised Electronic Money Institution,2022-05-30 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BOOKING+HOLDINGS+FINANCIAL+SERVICES+UK+LIMITED,OK,BOOKING HOLDINGS FINANCIAL SERVICES UK LIMITED,,Company Ownership,"Company Ownership: Delaware Corporation (Governing Law: Delaware State Laws, Us Federal Laws)",12967020
BP REMIT LIMITED,Authorised Payment Institution,2018-07-03 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BP+REMIT+LIMITED,OK,BP REMIT LIMITED,,Red,"Nationality: Russian (SHAMOV, Alexander), Country of Residence: Russia (SHAMOV, Alexander), Nationality: Russian (Alexander Shamov), Country of Residence: Latvia (Alexander Shamov)",11072026
BRAZAUK LTD,Authorised Electronic Money Institution,2019-03-22 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BRAZAUK+LTD,OK,BRAZAUK LTD,,OK,,06397296
BRIT FX LIMITED,Small Payment Institution,2020-04-30 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BRIT+FX+LIMITED,OK,BRIT FX LIMITED,,Orange,"Nationality: Ukrainian (RABENKO, Sergii), Country of Residence: Ukraine (RABENKO, Sergii), Nationality: Ukrainian (Mr Sergii Rabenko), Country of Residence: Ukraine (Mr Sergii Rabenko)",12309386
BRITANNIA LIMITED,Small Payment Institution,2018-10-09 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BRITANNIA+LIMITED,OK,BRITANNIA LIMITED,,OK,,04219301
BROAD MONEY TRANSFER LIMITED,Small Payment Institution,2022-08-12 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BROAD+MONEY+TRANSFER+LIMITED,OK,BROAD MONEY TRANSFER LIMITED,,OK,,12656257
BUX.com EMEA Limited,PSD Revoked PI,2018-07-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=BUX.com+EMEA+Limited,Not exact match,BUX.COM EMEA LTD,,Company Ownership,"Company Ownership: Limited Company (Governing Law: Companies Ordiance), Company Ownership: Limited Company (Governing Law: Companies Ordiance)",05410295
Baaz Money Exchange Ltd,Small Payment Institution,2019-03-11 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Baaz+Money+Exchange+Ltd,OK,BAAZ MONEY EXCHANGE LTD,,OK,,11349412
Baba Money,PSD Revoked PI,2014-06-02 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Baba+Money,OK,BABA MONEY LIMITED,,OK,,08146392
Babawali Limited,Cancelled - Small PI,2018-10-25 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Babawali+Limited,OK,BABAWALI LIMITED,,OK,,08492360
Babb Remit Ltd,Small Electronic Money Institution,2021-12-23 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Babb+Remit+Ltd,OK,BABB REMIT LTD,,Company Ownership,"Company Ownership: Limited Company (Governing Law: Companies Act 2006), Company Ownership: Private Limited Company (Governing Law: Companies Act 2006)",10407809
Baboli Ltd,Cancelled - Small PI,2018-12-20 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Baboli+Ltd,OK,BABOLI LTD,,OK,,15391041
Babur Hussain,Cancelled - Small PI,2014-01-09 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Babur+Hussain,Not exact match,BABUR LTD,,OK,,12891966
Bahar Express Transfer Limited,Cancelled - Small PI,2013-03-14 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Bahar+Express+Transfer+Limited,Not exact match,BAHAR EXPRESS TRANSFER LTD,,OK,,07490637
